,council,simd,n,frq
1,Aberdeen City,1,192,0.006
2,Aberdeen City,2,2069,0.062
3,Aberdeen City,3,3545,0.107
4,Aberdeen City,4,3567,0.107
5,Aberdeen City,5,2802,0.084
6,Aberdeen City,6,2456,0.074
7,Aberdeen City,7,2635,0.079
8,Aberdeen City,8,2754,0.083
9,Aberdeen City,9,3801,0.114
10,Aberdeen City,10,9397,0.283
11,Aberdeenshire,1,88,0.002
12,Aberdeenshire,2,599,0.014
13,Aberdeenshire,3,1204,0.029
14,Aberdeenshire,4,2745,0.066
15,Aberdeenshire,5,3860,0.093
16,Aberdeenshire,6,5811,0.14
17,Aberdeenshire,7,5743,0.138
18,Aberdeenshire,8,9419,0.227
19,Aberdeenshire,9,6820,0.164
20,Aberdeenshire,10,5268,0.127
21,Angus,1,181,0.008
22,Angus,2,1103,0.046
23,Angus,3,1654,0.069
24,Angus,4,2051,0.085
25,Angus,5,3014,0.125
26,Angus,6,4685,0.194
27,Angus,7,2742,0.114
28,Angus,8,4075,0.169
29,Angus,9,3652,0.152
30,Angus,10,937,0.039
31,Argyll and Bute,1,401,0.021
32,Argyll and Bute,2,824,0.043
33,Argyll and Bute,3,1947,0.102
34,Argyll and Bute,4,1465,0.077
35,Argyll and Bute,5,2894,0.151
36,Argyll and Bute,6,5437,0.284
37,Argyll and Bute,7,2944,0.154
38,Argyll and Bute,8,1842,0.096
39,Argyll and Bute,9,887,0.046
40,Argyll and Bute,10,498,0.026
41,City of Edinburgh,1,3400,0.047
42,City of Edinburgh,2,5463,0.076
43,City of Edinburgh,3,4647,0.065
44,City of Edinburgh,4,5001,0.07
45,City of Edinburgh,5,4406,0.062
46,City of Edinburgh,6,3680,0.051
47,City of Edinburgh,7,4762,0.066
48,City of Edinburgh,8,6353,0.089
49,City of Edinburgh,9,9609,0.134
50,City of Edinburgh,10,24298,0.339
51,Dumfries and Galloway,1,1196,0.034
52,Dumfries and Galloway,2,848,0.024
53,Dumfries and Galloway,3,2851,0.081
54,Dumfries and Galloway,4,6725,0.192
55,Dumfries and Galloway,5,5817,0.166
56,Dumfries and Galloway,6,7949,0.227
57,Dumfries and Galloway,7,4206,0.12
58,Dumfries and Galloway,8,2332,0.067
