med_name,bnf_subsec,n,pct
GLUCAGON,06010400,10432,0.0078
OILS FOR THE EAR,12010300,85668,0.0638
CHLORHEXIDINE GLUCONATE,12030400,103715,0.0773
ENTERAL NUTRITION,09040200,269419,0.2007
DOCUSATE SODIUM,12010300,4737,0.0035
EMOLLIENTS,13010100,2411,0.0018
SUNSCREEN,13080100,34428,0.0256
POVIDONE IODINE,13110400,6636,0.0049
OXYGEN CYLINDERS,03060000,21289,0.0159
MULTIVITAMINS,09060700,53677,0.04
LIDOCAINE HYDROCHLORIDE WITH CHLORHEXIDINE GLUCONATE,15020100,36745,0.0274
WATER FOR INJECTIONS,09020200,33875,0.0252
HEPARINOID,13140000,15485,0.0115
DICLOFENAC,13080100,71851,0.0535
PROFLAVINE HEMISULFATE,13100500,21,0
RALOXIFENE HYDROCHLORIDE,06040100,13881,0.0103
COMPOUND TOPICAL PREPARATIONS WITH LIDOCAINE,15020100,6428,0.0048
FOODS FOR SPECIAL DIETS,09040100,89656,0.0668
COMPOUND PREPARATIONS WITH SALICYLIC ACID,13070000,21176,0.0158
KETOROLAC TROMETAMOL,11080200,9589,0.0071
BENZOCAINE,12030300,21682,0.0162
FOODS FOR SPECIAL DIETS,09040200,89656,0.0668
MAGNESIUM SULFATE,13100500,8519,0.0063
HYDROGEN PEROXIDE,13110600,2283,0.0017
FLUOROURACIL,13080100,24632,0.0183
UREA HYDROGEN PEROXIDE,12010300,31235,0.0233
METHYLPREDNISOLONE,10010200,15573,0.0116
GLUCOSE,09020200,25666,0.0191
CHLORHEXIDINE GLUCONATE,13110200,103715,0.0773
LIDOCAINE,15020100,60351,0.045
AMYLMETACRESOL AND DICHLOROBENZYL ALCOHOL,12030300,2551,0.0019
CETYLPYRIDINIUM CHLORIDE,12030300,348,3e-4
SALICYLIC ACID,13070000,7871,0.0059
HEXETIDINE,12030400,4098,0.0031
GLUTEN FREE BISCUITS,09040100,27581,0.0205
GLUTEN FREE MIXES,09040100,21614,0.0161
GLUTEN FREE BREAD,09040100,68808,0.0513
GLUCOSE,06010400,25666,0.0191
CETRIMIDE AND CHLORHEXIDINE GLUCONATE,13100500,4462,0.0033
ORCIPRENALINE SULFATE,03010100,123,1e-4
BOWEL CLEANSING SOLUTIONS,01060500,429,3e-4
IMIQUIMOD,13070000,10887,0.0081
ENTERAL NUTRITION,09040100,269419,0.2007
OXYGEN CYLINDERS WITH SET,03060000,3686,0.0027
COMPOUND HERBAL PREPARATIONS,09120000,536,4e-4
ZINC OXIDE,13130100,8532,0.0064
ALUMINIUM DIHYDROXYALLANTOINATE,13120000,1915,0.0014
CETYLPYRIDINIUM CHLORIDE WITH CHLOROCRESOL AND LIDOCAINE HYDROCHLORIDE,12030400,8371,0.0062
GLUTEN FREE/LOW PROTEIN BISCUITS,09040100,8495,0.0063
LOW PROTEIN BISCUITS,09040100,397,3e-4
GLUTEN FREE PASTA,09040100,20944,0.0156
GLUTEN FREE/WHEAT FREE BISCUITS,09040100,2603,0.0019
GLUTEN FREE/WHEAT FREE BREAD,09040100,13488,0.01
HYOSCINE HYDROBROMIDE,15010300,3360,0.0025
MIDAZOLAM,15010400,40150,0.0299
POTASSIUM PERMANGANATE,13110600,3781,0.0028
POVIDONE IODINE,13100500,6636,0.0049
GLUTEN FREE/WHEAT FREE MIXES,09040100,4193,0.0031
FOODS FOR SPECIAL DIETS,09110400,89656,0.0668
ALUMINIUM CHLORIDE HEXAHYDRATE,13120000,3181,0.0024
GLUTEN FREE/WHEAT FREE PASTA,09040100,2231,0.0017
SODIUM CHLORIDE,09020200,6243,0.0047
HELICOBACTER PYLORI TEST,01030000,1622,0.0012
GLUCOSAMINE SULFATE,09120000,1287,0.001
LIDOCAINE HYDROCHLORIDE,15020100,4140,0.0031
TRIAMCINOLONE ACETONIDE,10010200,8464,0.0063
GLUTEN FREE GRAINS/FLOURS,09040100,5780,0.0043
HYDROGEN PEROXIDE,13100500,2283,0.0017
APRACLONIDINE,11080200,1097,8e-4
PODOPHYLLUM,13070000,426,3e-4
AMINO ACID SUPPLEMENTS,09040100,9,0
LIDOCAINE HYDROCHLORIDE,12030300,4140,0.0031
IODINE,13110400,44,0
